Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
HGLG11;Logística;R$ 190,50;33696.0;R$ 0,78;0,43%;1,37%;2,60%;5,48%;0,46%;0,43%;0,46%;2,22%;5,17%;5,62%;-2,86%;R$ 1.592.931.823,11;R$ 134,06;1,42;0,58%;-0,19%;0,39%;0,37%;6,80%;8,30%;11
GRLV11;Logística;R$ 122,15;273.0;R$ 0,64;0,53%;1,69%;3,16%;6,80%;0,56%;0,53%;0,57%;2,68%;2,56%;3,11%;-5,63%;R$ 141.239.148,62;R$ 131,57;0,93;0,49%;0,05%;0,53%;2,03%;3,70%;3,60%;1
HFOF11;Títulos e Val. Mob.;R$ 113,68;73582.0;R$ 0,90;0,82%;2,29%;4,53%;8,86%;0,76%;0,76%;0,74%;3,43%;10,55%;11,46%;-7,85%;R$ 1.539.814.441,33;R$ 97,15;1,17;0,78%;8,93%;9,78%;-8,59%;N/A;N/A;0
HMOC11;Shoppings;R$ 199,00;25.0;R$ 0,25;0,12%;0,40%;1,87%;5,03%;0,13%;0,31%;0,42%;1,40%;1,95%;2,07%;-15,87%;R$ 81.072.257,54;R$ 212,22;0,94;0,12%;-0,19%;-0,07%;0,80%;3,10%;N/A;1
FIGS11;Shoppings;R$ 67,88;7058.0;R$ 0,05;0,09%;0,34%;3,42%;4,04%;0,11%;0,57%;0,34%;1,29%;-1,29%;-1,21%;-29,68%;R$ 279.092.370,87;R$ 97,93;0,69;0,05%;-0,29%;-0,24%;0,35%;9,90%;N/A;2
HLOG11;Logística;R$ 123,71;308.0;R$ 0,63;0,51%;1,58%;0,00%;0,00%;0,53%;0,00%;0,00%;2,16%;-0,40%;0,10%;15,64%;R$ 171.903.124,32;R$ 110,91;1,12;0,57%;-0,20%;0,36%;1,11%;15,29%;13,27%;2
LUGG11;Residencial;R$ 105,80;707.0;R$ 0,50;0,49%;1,39%;0,00%;0,00%;0,46%;0,00%;0,00%;1,91%;1,41%;1,91%;-3,13%;R$ 86.370.557,96;R$ 95,97;1,10;0,50%;0,00%;0,50%;2,04%;10,00%;N/A;4
BICR11;Títulos e Val. Mob.;R$ 99,30;107.0;R$ 0,32;0,32%;1,11%;0,00%;0,00%;0,37%;0,00%;0,00%;2,13%;0,00%;0,32%;-11,39%;R$ 49.865.568,73;R$ 99,73;1,00;0,33%;-0,21%;0,12%;-5,16%;N/A;N/A;0
FIIP11B;Logística;R$ 195,00;609.0;R$ 1,16;0,66%;1,77%;4,42%;7,38%;0,59%;0,74%;0,62%;3,82%;-3,29%;-2,65%;-12,01%;R$ 179.100.417,88;R$ 193,17;1,01;0,28%;-0,03%;0,24%;2,00%;0,00%;0,00%;7
BCRI11;Títulos e Val. Mob.;R$ 109,65;6408.0;R$ 0,67;0,62%;2,01%;4,41%;7,95%;0,67%;0,74%;0,66%;3,85%;2,70%;3,33%;-8,19%;R$ 314.624.460,38;R$ 105,61;1,04;0,69%;0,71%;1,41%;2,93%;N/A;N/A;0
EDFO11B;Lajes Corporativas;R$ 264,97;3.0;R$ 1,53;0,61%;1,86%;3,43%;6,92%;0,62%;0,57%;0,58%;2,94%;-5,66%;-5,08%;-4,69%;R$ 47.934.309,91;R$ 203,11;1,30;0,73%;0,02%;0,75%;2,97%;6,96%;N/A;1
BRCO11;Logística;R$ 125,70;12505.0;R$ 0,56;0,46%;1,45%;0,00%;0,00%;0,48%;0,00%;0,00%;2,32%;4,80%;5,29%;-5,53%;R$ 1.206.097.880,65;R$ 95,98;1,31;0,59%;0,07%;0,65%;2,40%;0,00%;N/A;10
VLOL11;Lajes Corporativas;R$ 104,85;794.0;R$ 0,62;0,61%;1,27%;2,44%;5,15%;0,42%;0,41%;0,43%;2,07%;-1,72%;-1,12%;-11,75%;R$ 162.023.597,49;R$ 90,78;1,16;0,30%;0,09%;0,39%;1,98%;0,00%;N/A;1
FIIB11;Híbrido;R$ 480,50;1181.0;R$ 1,70;0,37%;1,25%;2,70%;5,79%;0,42%;0,45%;0,48%;1,77%;-6,12%;-5,78%;-21,05%;R$ 289.313.864,07;R$ 422,36;1,14;0,40%;0,21%;0,61%;2,38%;3,28%;N/A;1
VVPR11;Híbrido;R$ 103,50;1220.0;R$ 0,63;0,62%;1,91%;0,00%;0,00%;0,64%;0,00%;0,00%;2,56%;7,43%;8,09%;-3,19%;R$ 189.847.657,89;R$ 100,32;1,03;0,62%;0,03%;0,66%;3,87%;0,00%;N/A;4
NSLU11;Hospital;R$ 251,49;576.0;R$ 1,74;0,68%;2,15%;4,13%;8,28%;0,72%;0,69%;0,69%;2,83%;6,47%;7,20%;6,38%;R$ 218.407.726,98;R$ 190,78;1,32;0,91%;0,01%;0,92%;3,62%;0,00%;N/A;1
XPSF11;Outros;R$ 94,25;17246.0;R$ 0,68;0,73%;2,28%;0,00%;0,00%;0,76%;0,00%;0,00%;2,99%;7,05%;7,83%;-2,98%;R$ 317.291.375,74;R$ 94,71;1,00;0,69%;1,76%;2,46%;-5,06%;N/A;N/A;0
VOTS11;Títulos e Val. Mob.;R$ 81,00;4.0;R$ 0,34;0,41%;1,30%;2,92%;6,08%;0,43%;0,49%;0,51%;2,19%;1,84%;2,26%;-11,63%;R$ 81.002.787,60;R$ 97,84;0,83;0,35%;0,08%;0,43%;1,96%;N/A;N/A;0
RNDP11;Títulos e Val. Mob.;R$ 890,00;134.0;R$ 3,46;0,40%;1,26%;2,62%;5,63%;0,42%;0,44%;0,47%;1,99%;1,17%;1,58%;-12,19%;R$ 117.149.616,71;R$ 1.089,96;0,82;0,31%;0,29%;0,61%;1,83%;N/A;N/A;0
RBRD11;Híbrido;R$ 94,89;1867.0;R$ 1,05;1,39%;3,09%;4,87%;9,97%;1,03%;0,81%;0,83%;3,80%;2,70%;4,13%;-25,12%;R$ 148.561.498,01;R$ 80,23;1,18;0,07%;0,40%;0,48%;3,59%;0,00%;N/A;4
PORD11;Títulos e Val. Mob.;R$ 94,99;1520.0;R$ 0,50;0,52%;2,02%;6,15%;10,03%;0,67%;1,02%;0,84%;3,39%;-2,60%;-2,09%;-7,92%;R$ 198.906.126,51;R$ 100,82;0,94;0,44%;0,54%;0,98%;-0,99%;N/A;N/A;0
PLCR11;Híbrido;R$ 83,99;2454.0;R$ 0,25;0,31%;1,09%;1,83%;0,00%;0,36%;0,30%;0,00%;1,64%;-1,19%;-0,88%;-16,43%;R$ 202.675.003,51;R$ 96,09;0,87;0,31%;-0,09%;0,22%;0,43%;N/A;N/A;0
